Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos medios, distribución e índice;Periodo;Total
02 Aragón;Otros hogares;Gasto medio por hogar;2019;36.135,05
02 Aragón;Otros hogares;Gasto medio por hogar;2018;34.785,16
02 Aragón;Otros hogares;Gasto medio por hogar;2017;34.560,30
02 Aragón;Otros hogares;Gasto medio por hogar;2016;34.942,90
03 Asturias, Principado de;Total;Gasto medio por hogar;2024;31.391,44
03 Asturias, Principado de;Total;Gasto medio por hogar;2023;30.694,45
03 Asturias, Principado de;Total;Gasto medio por hogar;2022;29.288,44
03 Asturias, Principado de;Total;Gasto medio por hogar;2021;25.935,63
03 Asturias, Principado de;Total;Gasto medio por hogar;2020;23.504,49
03 Asturias, Principado de;Total;Gasto medio por hogar;2019;27.367,02
03 Asturias, Principado de;Total;Gasto medio por hogar;2018;27.185,87
03 Asturias, Principado de;Total;Gasto medio por hogar;2017;26.422,45
03 Asturias, Principado de;Total;Gasto medio por hogar;2016;26.811,61
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;28.096,67
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;27.357,94
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;24.786,97
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;23.133,61
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;19.596,87
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;22.516,53
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;22.633,66
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;20.926,88
03 Asturias, Principado de;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;21.457,40
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;24.591,62
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;23.166,30
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;22.523,39
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;20.954,10
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;19.728,08
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;23.666,42
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;22.651,01
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;23.916,59
03 Asturias, Principado de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;24.607,55
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;36.871,93
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;36.603,27
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;34.560,06
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;29.584,94
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;28.782,88
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;32.664,50
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;31.439,59
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;31.748,46
03 Asturias, Principado de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;34.258,03
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2024;38.663,48
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2023;38.162,44
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2022;36.854,10
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2021;31.293,71
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2020;27.697,97
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2019;32.142,68
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2018;32.973,03
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2017;31.022,05
03 Asturias, Principado de;Otros hogares;Gasto medio por hogar;2016;30.100,81
04 Balears, Illes;Total;Gasto medio por hogar;2024;38.284,92
04 Balears, Illes;Total;Gasto medio por hogar;2023;39.081,03
04 Balears, Illes;Total;Gasto medio por hogar;2022;35.182,61
04 Balears, Illes;Total;Gasto medio por hogar;2021;30.797,62
04 Balears, Illes;Total;Gasto medio por hogar;2020;28.618,46
04 Balears, Illes;Total;Gasto medio por hogar;2019;33.125,73
04 Balears, Illes;Total;Gasto medio por hogar;2018;33.076,31
04 Balears, Illes;Total;Gasto medio por hogar;2017;32.398,28
04 Balears, Illes;Total;Gasto medio por hogar;2016;31.437,73
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;31.270,91
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;35.449,22
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;32.863,11
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;26.050,19
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;24.549,56
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;26.665,47
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;27.908,02
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;27.488,39
04 Balears, Illes;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;26.372,31
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;30.046,81
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;30.594,56
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;30.782,34
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;23.637,56
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;24.471,07
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;26.081,33
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;28.021,64
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;28.575,15
04 Balears, Illes;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;25.474,27
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;41.675,06
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;48.787,92
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;35.537,88
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;33.801,33
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;31.234,68
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;38.061,82
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;34.102,92
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;33.544,51
04 Balears, Illes;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;33.823,67
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2024;46.556,63
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2023;43.920,65
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2022;39.372,75
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2021;37.738,68
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2020;32.946,65
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2019;40.203,74
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2018;39.695,44
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2017;37.077,10
04 Balears, Illes;Otros hogares;Gasto medio por hogar;2016;38.111,26
05 Canarias;Total;Gasto medio por hogar;2024;32.681,78
05 Canarias;Total;Gasto medio por hogar;2023;29.576,92
05 Canarias;Total;Gasto medio por hogar;2022;27.683,96
05 Canarias;Total;Gasto medio por hogar;2021;25.244,20
05 Canarias;Total;Gasto medio por hogar;2020;21.844,35
05 Canarias;Total;Gasto medio por hogar;2019;25.389,65
05 Canarias;Total;Gasto medio por hogar;2018;24.124,80
05 Canarias;Total;Gasto medio por hogar;2017;23.918,51
05 Canarias;Total;Gasto medio por hogar;2016;23.638,36
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;27.799,31
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;26.197,99
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;23.052,57
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;21.355,94
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;17.298,31
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;19.942,56
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;18.351,09
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;19.594,80
05 Canarias;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;19.075,77
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;25.782,49
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;22.851,10
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;22.157,86
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;21.373,04
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;18.765,32
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;20.648,97
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;19.929,74
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;20.555,10
05 Canarias;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;20.309,46
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;36.619,87
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;34.404,31
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;30.960,58
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;27.960,76
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;26.442,20
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;30.337,06
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;30.061,53
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;28.327,24
05 Canarias;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;28.627,84
05 Canarias;Otros hogares;Gasto medio por hogar;2024;38.356,18
05 Canarias;Otros hogares;Gasto medio por hogar;2023;34.294,93
05 Canarias;Otros hogares;Gasto medio por hogar;2022;32.348,43
05 Canarias;Otros hogares;Gasto medio por hogar;2021;28.254,83
05 Canarias;Otros hogares;Gasto medio por hogar;2020;24.326,74
05 Canarias;Otros hogares;Gasto medio por hogar;2019;29.194,34
05 Canarias;Otros hogares;Gasto medio por hogar;2018;27.151,60
05 Canarias;Otros hogares;Gasto medio por hogar;2017;26.283,84
05 Canarias;Otros hogares;Gasto medio por hogar;2016;25.771,32
06 Cantabria;Total;Gasto medio por hogar;2024;33.974,63
06 Cantabria;Total;Gasto medio por hogar;2023;32.389,73
06 Cantabria;Total;Gasto medio por hogar;2022;28.920,50
06 Cantabria;Total;Gasto medio por hogar;2021;26.767,50
06 Cantabria;Total;Gasto medio por hogar;2020;24.639,51
06 Cantabria;Total;Gasto medio por hogar;2019;29.520,52
06 Cantabria;Total;Gasto medio por hogar;2018;30.071,44
06 Cantabria;Total;Gasto medio por hogar;2017;29.945,34
06 Cantabria;Total;Gasto medio por hogar;2016;27.549,85
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;29.586,03
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;29.334,41
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;24.530,58
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;23.148,22
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;21.268,23
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;24.100,17
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;26.428,44
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;25.941,25
06 Cantabria;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;24.824,58
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;26.856,66
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;25.362,30
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;23.872,01
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;21.544,69
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;20.726,86
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;24.694,47
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;24.634,91
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;25.197,76
06 Cantabria;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;22.970,11
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;36.488,52
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;37.724,79
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;33.131,37
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;29.624,49
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;31.724,45
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;33.368,96
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;33.395,71
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;34.860,18
06 Cantabria;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;31.482,51
06 Cantabria;Otros hogares;Gasto medio por hogar;2024;41.560,22
06 Cantabria;Otros hogares;Gasto medio por hogar;2023;38.203,93
06 Cantabria;Otros hogares;Gasto medio por hogar;2022;34.329,62
06 Cantabria;Otros hogares;Gasto medio por hogar;2021;32.084,71
06 Cantabria;Otros hogares;Gasto medio por hogar;2020;26.571,67
06 Cantabria;Otros hogares;Gasto medio por hogar;2019;34.884,14
