Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos medios, distribución e índice;Periodo;Total
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;39.212,79
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;41.158,78
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;39.488,39
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;38.978,71
13 Madrid, Comunidad de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;37.835,38
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2024;44.602,72
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2023;43.029,93
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2022;40.862,32
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2021;40.715,08
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2020;37.655,58
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2019;41.651,80
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2018;42.030,69
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2017;39.713,00
13 Madrid, Comunidad de;Otros hogares;Gasto medio por hogar;2016;38.302,06
14 Murcia, Región de;Total;Gasto medio por hogar;2024;33.001,92
14 Murcia, Región de;Total;Gasto medio por hogar;2023;31.851,10
14 Murcia, Región de;Total;Gasto medio por hogar;2022;31.422,71
14 Murcia, Región de;Total;Gasto medio por hogar;2021;27.397,67
14 Murcia, Región de;Total;Gasto medio por hogar;2020;25.080,79
14 Murcia, Región de;Total;Gasto medio por hogar;2019;29.746,05
14 Murcia, Región de;Total;Gasto medio por hogar;2018;29.890,47
14 Murcia, Región de;Total;Gasto medio por hogar;2017;29.708,26
14 Murcia, Región de;Total;Gasto medio por hogar;2016;27.726,15
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;26.010,41
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;24.713,11
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;24.487,06
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;20.436,03
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;19.850,57
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;22.440,97
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;22.077,91
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;21.227,96
14 Murcia, Región de;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;21.281,86
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;26.511,31
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;25.126,86
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;23.034,50
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;20.654,57
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;19.975,79
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;24.390,92
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;25.132,52
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;25.355,81
14 Murcia, Región de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;24.128,06
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;37.814,09
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;34.874,05
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;35.853,23
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;29.909,97
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;28.583,18
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;33.038,30
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;33.263,22
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;32.284,98
14 Murcia, Región de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;31.476,00
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2024;38.345,06
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2023;37.933,82
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2022;37.693,53
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2021;32.835,38
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2020;28.940,99
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2019;34.850,21
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2018;34.777,86
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2017;34.848,90
14 Murcia, Región de;Otros hogares;Gasto medio por hogar;2016;31.156,91
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2024;35.700,42
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2023;35.044,02
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2022;34.993,66
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2021;32.921,96
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2020;31.780,35
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2019;33.909,75
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2018;34.637,23
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2017;32.834,68
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2016;32.232,11
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;31.176,58
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;28.916,63
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;28.452,23
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;27.580,96
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;25.949,79
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;26.554,95
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;26.685,36
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;26.952,55
15 Navarra, Comunidad Foral de;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;26.366,63
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;27.621,61
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;27.991,74
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;26.269,61
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;24.005,38
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;25.519,85
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;27.508,55
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;28.086,23
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;26.792,23
15 Navarra, Comunidad Foral de;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;28.038,83
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;39.900,36
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;39.244,07
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;38.540,35
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;38.384,97
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;35.776,17
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;36.615,32
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;39.258,86
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;35.113,33
15 Navarra, Comunidad Foral de;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;33.941,98
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2024;42.568,12
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2023;43.179,19
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2022;43.814,30
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2021;40.700,46
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2020;38.826,53
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2019;42.651,38
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2018;43.031,04
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2017;41.425,73
15 Navarra, Comunidad Foral de;Otros hogares;Gasto medio por hogar;2016;39.764,52
16 País Vasco;Total;Gasto medio por hogar;2024;36.313,35
16 País Vasco;Total;Gasto medio por hogar;2023;36.331,06
16 País Vasco;Total;Gasto medio por hogar;2022;34.927,06
16 País Vasco;Total;Gasto medio por hogar;2021;32.590,69
16 País Vasco;Total;Gasto medio por hogar;2020;31.498,23
16 País Vasco;Total;Gasto medio por hogar;2019;34.423,19
16 País Vasco;Total;Gasto medio por hogar;2018;34.211,88
16 País Vasco;Total;Gasto medio por hogar;2017;33.709,32
16 País Vasco;Total;Gasto medio por hogar;2016;33.691,02
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;33.042,65
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;32.537,30
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;30.497,15
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;28.436,08
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;27.176,12
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;29.409,54
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;28.780,40
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;27.742,74
16 País Vasco;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;27.843,12
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;28.553,49
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;28.322,83
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;27.480,22
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;26.389,07
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;24.111,15
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;28.384,15
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;28.469,67
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;27.430,01
16 País Vasco;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;27.465,86
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;39.834,40
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;40.887,38
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;39.525,79
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;35.047,74
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;35.223,87
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;38.426,97
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;37.976,06
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;38.031,50
16 País Vasco;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;38.368,34
16 País Vasco;Otros hogares;Gasto medio por hogar;2024;43.720,65
16 País Vasco;Otros hogares;Gasto medio por hogar;2023;44.173,03
16 País Vasco;Otros hogares;Gasto medio por hogar;2022;42.961,56
16 País Vasco;Otros hogares;Gasto medio por hogar;2021;39.773,36
16 País Vasco;Otros hogares;Gasto medio por hogar;2020;38.850,54
16 País Vasco;Otros hogares;Gasto medio por hogar;2019;41.359,72
16 País Vasco;Otros hogares;Gasto medio por hogar;2018;41.320,90
16 País Vasco;Otros hogares;Gasto medio por hogar;2017;41.480,86
16 País Vasco;Otros hogares;Gasto medio por hogar;2016;41.239,24
17 Rioja, La;Total;Gasto medio por hogar;2024;32.978,29
17 Rioja, La;Total;Gasto medio por hogar;2023;32.362,74
17 Rioja, La;Total;Gasto medio por hogar;2022;28.957,51
17 Rioja, La;Total;Gasto medio por hogar;2021;26.059,59
17 Rioja, La;Total;Gasto medio por hogar;2020;25.568,16
17 Rioja, La;Total;Gasto medio por hogar;2019;29.149,25
17 Rioja, La;Total;Gasto medio por hogar;2018;28.054,96
17 Rioja, La;Total;Gasto medio por hogar;2017;28.081,27
17 Rioja, La;Total;Gasto medio por hogar;2016;26.880,18
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;26.979,43
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;26.435,38
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;21.897,56
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;20.009,46
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;20.159,78
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;21.749,58
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;21.947,05
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;19.849,01
17 Rioja, La;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;19.950,39
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;26.826,50
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;25.939,46
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;25.362,67
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;20.327,29
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;21.011,01
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;26.385,61
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;23.006,65
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;24.230,63
17 Rioja, La;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;24.022,76
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;38.345,96
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;36.595,30
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;35.235,45
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;33.682,58
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;31.543,69
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;38.329,79
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;32.200,38
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;33.299,07
17 Rioja, La;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;31.867,81
17 Rioja, La;Otros hogares;Gasto medio por hogar;2024;40.697,09
17 Rioja, La;Otros hogares;Gasto medio por hogar;2023;41.172,45
17 Rioja, La;Otros hogares;Gasto medio por hogar;2022;35.085,83
17 Rioja, La;Otros hogares;Gasto medio por hogar;2021;32.419,76
17 Rioja, La;Otros hogares;Gasto medio por hogar;2020;31.144,92
17 Rioja, La;Otros hogares;Gasto medio por hogar;2019;32.927,22
17 Rioja, La;Otros hogares;Gasto medio por hogar;2018;35.657,20
17 Rioja, La;Otros hogares;Gasto medio por hogar;2017;35.498,62
17 Rioja, La;Otros hogares;Gasto medio por hogar;2016;32.335,11
18 Ceuta;Total;Gasto medio por hogar;2024;35.649,32
18 Ceuta;Total;Gasto medio por hogar;2023;36.181,96
18 Ceuta;Total;Gasto medio por hogar;2022;32.268,41
18 Ceuta;Total;Gasto medio por hogar;2021;30.238,20
18 Ceuta;Total;Gasto medio por hogar;2020;24.432,56
18 Ceuta;Total;Gasto medio por hogar;2019;29.666,80
18 Ceuta;Total;Gasto medio por hogar;2018;26.840,69
18 Ceuta;Total;Gasto medio por hogar;2017;32.815,71
18 Ceuta;Total;Gasto medio por hogar;2016;30.618,56
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;.
18 Ceuta;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;.
18 Ceuta;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;.
18 Ceuta;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;.
18 Ceuta;Otros hogares;Gasto medio por hogar;2024;40.759,94
18 Ceuta;Otros hogares;Gasto medio por hogar;2023;43.454,56
18 Ceuta;Otros hogares;Gasto medio por hogar;2022;36.971,65
18 Ceuta;Otros hogares;Gasto medio por hogar;2021;32.221,70
18 Ceuta;Otros hogares;Gasto medio por hogar;2020;.
18 Ceuta;Otros hogares;Gasto medio por hogar;2019;32.600,42
18 Ceuta;Otros hogares;Gasto medio por hogar;2018;30.508,28
18 Ceuta;Otros hogares;Gasto medio por hogar;2017;35.907,58
18 Ceuta;Otros hogares;Gasto medio por hogar;2016;33.760,54
19 Melilla;Total;Gasto medio por hogar;2024;28.473,51
19 Melilla;Total;Gasto medio por hogar;2023;29.273,07
19 Melilla;Total;Gasto medio por hogar;2022;27.252,76
19 Melilla;Total;Gasto medio por hogar;2021;24.594,67
19 Melilla;Total;Gasto medio por hogar;2020;27.853,17
19 Melilla;Total;Gasto medio por hogar;2019;29.278,82
19 Melilla;Total;Gasto medio por hogar;2018;29.446,20
19 Melilla;Total;Gasto medio por hogar;2017;27.491,10
19 Melilla;Total;Gasto medio por hogar;2016;30.427,11
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;.
19 Melilla;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;.
19 Melilla;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2022;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2021;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2020;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2019;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2018;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2017;.
19 Melilla;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2016;.
19 Melilla;Otros hogares;Gasto medio por hogar;2024;30.391,86
19 Melilla;Otros hogares;Gasto medio por hogar;2023;30.501,48
19 Melilla;Otros hogares;Gasto medio por hogar;2022;.
19 Melilla;Otros hogares;Gasto medio por hogar;2021;.
19 Melilla;Otros hogares;Gasto medio por hogar;2020;.
19 Melilla;Otros hogares;Gasto medio por hogar;2019;28.867,19
19 Melilla;Otros hogares;Gasto medio por hogar;2018;30.654,66
19 Melilla;Otros hogares;Gasto medio por hogar;2017;30.459,52
19 Melilla;Otros hogares;Gasto medio por hogar;2016;33.972,19
