Comunidad autónoma de residencia;Tipo de dato;Gastos medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total Nacional;Dato base;Gasto medio por persona;Índice general;2018;12.018,94
Total Nacional;Dato base;Gasto medio por persona;Índice general;2017;11.726,36
Total Nacional;Dato base;Gasto medio por persona;Índice general;2016;11.312,41
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2024;2.157,59
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2023;2.145,97
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2022;2.022,71
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2021;1.915,53
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2020;1.840,40
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2019;1.722,43
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2018;1.699,60
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2017;1.650,54
Total Nacional;Dato base;Gasto medio por persona;01 Alimentos y bebidas no alcohólicas;2016;1.654,37
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;178,84
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;189,94
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;191,49
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;197,12
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;204,64
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;207,13
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;208,46
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;215,13
Total Nacional;Dato base;Gasto medio por persona;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;214,85
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2024;572,98
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2023;530,72
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2022;488,73
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2021;456,80
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2020;405,48
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2019;569,55
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2018;588,69
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2017;608,59
Total Nacional;Dato base;Gasto medio por persona;03 Vestido y calzado;2016;582,23
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2024;4.414,27
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;4.180,91
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;4.099,80
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;3.932,62
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;3.876,87
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;3.805,19
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;3.706,78
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;3.539,22
Total Nacional;Dato base;Gasto medio por persona;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;3.505,15
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2024;509,94
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;533,31
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;508,15
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;499,23
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;460,83
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;524,70
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;541,01
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;525,29
Total Nacional;Dato base;Gasto medio por persona;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;503,78
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2024;551,27
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2023;500,80
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2022;490,42
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2021;476,83
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2020;403,01
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2019;421,81
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2018;407,12
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2017;394,71
Total Nacional;Dato base;Gasto medio por persona;06 Sanidad;2016;388,58
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2024;1.551,58
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2023;1.521,64
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2022;1.514,17
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2021;1.276,98
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2020;1.103,51
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2019;1.563,02
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2018;1.527,51
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2017;1.475,40
Total Nacional;Dato base;Gasto medio por persona;07 Transporte;2016;1.310,92
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2024;440,69
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2023;422,67
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2022;436,92
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2021;442,23
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2020;445,21
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2019;438,02
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2018;447,02
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2017;435,53
Total Nacional;Dato base;Gasto medio por persona;08 Información y comunicaciones;2016;417,72
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2024;677,10
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2023;601,49
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2022;538,82
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2021;440,54
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2020;384,58
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2019;607,39
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2018;601,24
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2017;605,40
Total Nacional;Dato base;Gasto medio por persona;09 Actividades recreativas, deporte y cultura;2016;575,51
